Customer ID,recency,frequency,monetary
12445,22,1,33.35
12446,58,1,17.584385964912283
12447,243,1,18.326538461538462
12448,44,1,20.429545454545455
12449,22,4,21.294712041884818
12450,156,2,24.735
12451,11,5,25.524067796610172
12452,17,2,19.571363636363635
12453,134,1,16.443953488372095
12454,56,1,235.22266666666667
12455,73,6,27.409555555555556
12456,44,3,25.44832
12457,66,7,38.11661290322581
12458,71,2,24.931578947368422
12461,94,2,23.62514285714286
12462,19,2,19.186935483870965
12463,53,4,16.202168674698793
12464,10,8,41.79482758620689
12465,17,2,15.79127659574468
12468,188,2,19.19842105263158
12471,2,30,43.09576086956522
12472,32,7,19.386755162241887
12473,29,5,23.443749999999998
12474,17,18,17.395731132075472
12475,54,1,20.093888888888888
12476,16,11,29.255021459227468
12477,23,6,44.065799999999996
12478,4,1,18.91638888888889
12479,11,1,17.006451612903227
12480,28,4,21.309285714285714
12481,23,10,25.789493087557602
12483,17,8,33.133066666666664
12484,33,6,13.126358381502891
12488,10,3,23.612000000000002
12489,336,1,22.328666666666667
12490,5,10,22.114
12491,39,1,17.70769230769231
12492,63,2,13.160500000000003
12493,166,2,19.715454545454545
12494,16,7,16.183116883116885
12497,82,1,74.50714285714285
12498,21,3,17.55217391304348
12500,23,11,69.80032786885245
12501,337,1,14.559664429530201
12502,96,5,25.332448979591835
12504,18,2,53.5611111111111
12506,233,1,3.1956521739130435
12507,134,3,62.13380952380952
12508,26,2,5.772028985507246
12509,284,1,25.214285714285715
12510,143,2,29.774848484848484
12512,66,2,4.059705882352941
12513,113,1,17.494
12514,267,1,19.954509803921567
12515,353,1,23.98125
12516,78,2,50.46384615384615
12517,28,5,8.812816901408452
12518,1,5,16.58782258064516
12519,64,1,18.935555555555553
12520,79,5,17.330657894736845
12521,143,1,15.781052631578946
12522,39,2,16.06
12523,19,11,16.884622641509434
12524,9,8,31.150833333333335
12526,1,3,18.54450704225352
12527,82,3,19.37277777777778
12528,9,6,21.01608695652174
12530,60,4,25.186060606060607
12531,15,1,7.365882352941177
12532,30,1,21.864375000000003
12534,131,1,17.28857142857143
12535,92,2,21.069117647058825
12536,43,3,48.282873563218395
12538,29,1,17.33095238095238
12539,22,4,20.396886446886448
12540,20,17,28.03397489539749
12541,30,3,18.868846153846153
12544,36,1,19.61578947368421
12545,75,2,20.0078
12546,47,2,16.833333333333332
12547,198,2,25.974999999999998
12548,166,1,19.04
12550,79,1,16.92684210526316
12551,358,1,16.8
12552,39,2,21.891
12553,8,10,19.33130890052356
12556,50,2,4.989338842975207
12557,16,5,363.36242424242425
12558,8,1,24.54181818181818
12559,311,2,26.74809523809524
12560,5,3,20.323904761904764
12561,303,1,14.928125
12562,8,7,22.510357142857146
12564,261,1,21.757142857142856
12565,289,1,16.21333333333333
12566,86,1,18.507894736842104
12567,23,10,21.079103139013455
12569,2,32,21.939840425531912
12571,40,2,15.28264705882353
12572,9,2,17.006999999999998
12573,227,1,5.733571428571429
12574,316,1,19.85909090909091
12576,36,5,14.952613636363635
12577,35,3,4.474829931972788
12578,21,2,24.51324561403509
12579,78,1,15.18689655172414
12580,247,1,17.320833333333333
12581,40,1,13.180666666666667
12582,239,2,23.243636363636366
12583,3,15,29.47927125506073
12584,4,9,24.355729166666666
12585,234,2,23.44942528735632
12586,17,1,17.903636363636366
12587,8,1,36.0
12588,39,1,21.49
12589,29,2,18.47657142857143
12590,211,2,145.06264705882353
12591,317,1,17.41730769230769
12592,92,2,24.311111111111114
12593,109,3,19.909523809523808
12594,38,10,28.290000000000003
12596,51,2,22.898888888888887
12597,19,4,18.50106796116505
12598,10,8,22.902121212121212
12599,29,7,16.654516129032256
12600,29,10,40.61
12601,190,5,20.609285714285715
12602,59,1,12.76
12603,22,1,369.59999999999997
12604,79,2,15.88625
12607,60,1,15.63871287128713
12609,78,3,18.78083333333333
12610,23,5,19.80698113207547
12611,52,1,18.35876923076923
12612,74,1,37.054736842105264
12613,57,5,21.858692810457516
12614,278,1,15.780000000000001
12615,2,4,21.820857142857143
12616,95,2,22.290625
12617,29,1,8.465
12618,22,1,16.11909090909091
12619,16,9,40.45822222222222
12620,15,3,14.558804347826088
12621,2,20,29.31406852248394
12622,232,1,16.37272727272727
12623,276,1,16.950000000000003
12624,106,2,16.87184210526316
12625,212,2,31.207209302325584
12626,23,9,22.51863945578231
12627,11,7,19.47186956521739
12628,4,3,19.181951219512197
12630,10,2,19.8575
12631,57,1,20.661290322580644
12633,59,4,21.425544554455445
12635,90,2,16.724554455445546
12637,67,8,15.440769230769229
12638,33,1,17.222820512820515
12639,239,1,22.095454545454547
12640,24,3,22.16188679245283
12641,115,1,18.59
12642,25,3,21.558723404255318
12643,128,6,139.35999999999999
12644,130,1,15.416451612903227
12645,34,4,24.31753424657534
12646,5,2,29.932666666666666
12647,22,12,30.76710743801653
12648,155,1,15.145238095238096
12649,107,3,20.113225806451613
12650,3,1,15.722
12651,335,1,12.666666666666666
12652,331,1,19.16625
12653,149,2,51.391860465116274
12654,11,5,15.841578947368422
12656,17,5,32.152142857142856
12657,11,4,34.961276595744685
12658,19,1,19.056944444444444
12659,30,1,18.336000000000002
12660,11,1,18.853846153846153
12662,1,11,16.73817391304348
12664,8,9,131.94270270270272
12665,325,1,21.0
12667,58,1,18.791818181818183
12668,12,4,23.64689440993789
12669,151,3,27.168613861386135
12670,10,5,32.56576086956522
12672,330,1,22.589999999999996
12673,5,2,14.536190476190475
12674,39,4,23.742168674698792
12676,25,6,29.586444444444446
12678,42,12,106.83915151515151
12679,59,4,23.187916666666666
12680,1,4,16.619056603773583
12681,15,22,21.610564263322885
12682,4,31,23.406133333333333
12683,4,15,24.641191860465117
12684,8,7,21.748857142857144
12685,28,6,18.236178343949042
12686,372,1,12.734285714285715
12688,114,1,28.501812865497072
12689,26,2,17.327916666666667
12690,206,1,24.313125
12691,28,6,32.36875
12693,127,4,21.946410256410257
12694,70,2,23.504594594594593
12695,7,4,21.55925925925926
12697,29,3,23.355853658536585
12700,8,4,18.432798507462685
12701,80,2,15.051132075471699
12702,20,1,18.25
12703,71,1,13.502380952380953
12704,7,8,26.600454545454546
12705,15,9,20.56374251497006
12707,292,1,18.285454545454545
12708,30,10,17.27968152866242
12709,15,15,46.81019230769231
12710,97,3,14.922337662337663
12712,29,13,33.053609022556394
12713,1,1,22.330263157894734
12714,9,5,18.18092664092664
12715,106,1,16.85047619047619
12716,4,2,15.267971014492753
12717,151,2,18.74509090909091
12718,71,1,12.539473684210526
12719,5,2,16.53717948717949
12720,3,25,16.332570621468925
12721,32,6,16.497701863354038
12722,85,4,18.82320754716981
12723,4,5,10.508260869565218
12724,5,4,19.460566037735852
12725,371,1,17.825
12726,28,7,21.041129032258063
12727,11,7,28.638129496402875
12728,71,4,18.18108695652174
12729,114,1,17.423461538461538
12731,24,12,68.96317518248175
12732,180,1,19.688333333333336
12733,234,1,17.452272727272728
12734,353,1,27.599999999999998
12735,315,2,18.12953488372093
12736,333,1,58.5
12738,372,1,14.122727272727273
12739,78,2,26.658947368421053
12740,64,1,15.837037037037037
12743,134,2,4.077835820895522
12744,52,7,95.85265765765766
12747,2,11,40.737961165048546
12748,1,209,7.338352557127313
12749,4,5,20.55718592964824
12750,129,1,18.392
12752,81,1,82.3920754716981
12753,23,6,108.77862944162436
12754,236,3,47.78952380952381
12755,281,2,952.9875
12756,87,1,28.019999999999996
12757,16,13,21.178167115902966
12758,117,2,28.779278350515465
12759,52,3,16.12042105263158
12762,8,2,27.51478260869565
12763,138,2,27.448888888888888
12764,317,1,37.64177777777778
12766,4,7,22.547193548387096
12769,239,1,35.7375
12770,211,1,112.62083333333334
12772,60,1,16.226727272727274
12775,17,5,21.00060606060606
12778,20,6,16.4446
12779,38,8,26.72053691275168
12781,64,2,33.0696
12782,5,5,22.630291262135923
12783,2,6,26.49892857142857
12784,9,2,9.73593220338983
12785,364,1,22.282142857142855
12787,10,3,23.183
12789,65,1,22.9625
12790,192,1,15.472380952380954
12791,374,1,96.30000000000001
12792,257,1,16.0216
12793,335,2,22.728333333333335
12794,53,2,19.12022222222222
12795,19,1,30.74857142857143
12797,366,1,19.540769230769232
12798,10,3,872.13
12802,187,1,17.1032
12808,37,3,17.273214285714285
12809,178,1,19.572400000000002
12811,261,3,16.608064516129033
12812,45,1,15.309333333333335
12814,102,1,62.96
12815,148,2,22.6268085106383
12816,96,2,19.731034482758623
12817,281,1,41.51
12818,262,1,110.14857142857143
12820,3,4,15.97186440677966
12821,214,1,15.453333333333333
12822,71,2,20.62782608695652
12823,75,5,351.9
12824,60,1,15.8848
12826,3,7,16.205714285714286
12827,6,3,17.206000000000003
12828,3,6,18.19125
12829,337,2,26.636363636363637
12830,38,6,179.33263157894737
12831,262,1,23.894444444444446
12832,32,2,14.186296296296295
12833,145,1,17.390833333333333
12834,283,1,17.354444444444443
12836,59,4,14.930628571428572
12837,173,1,11.174999999999999
12838,34,2,5.55390243902439
12839,3,14,17.80707006369427
12840,144,4,24.13070796460177
12841,5,25,9.577023809523808
12842,70,2,32.9114705882353
12843,66,8,16.526796116504855
12844,29,2,6.268461538461539
12845,267,4,13.114444444444443
12847,22,1,9.577362637362636
12849,31,2,20.6056862745098
12851,97,1,2.7036000000000002
12852,295,1,18.326470588235296
12853,135,6,25.09102564102564
12854,79,3,12.040909090909091
12855,373,1,12.700000000000001
12856,8,6,6.942452229299363
12857,211,2,24.05217391304348
12863,52,1,104.24000000000001
12864,138,1,49.04
12865,26,2,16.507684210526318
12866,283,1,21.504615384615384
12867,26,7,7.503382899628253
12868,186,6,15.0192523364486
12871,84,2,34.60363636363636
12872,327,2,9.090454545454547
12873,282,1,93.5
12875,143,2,171.61500000000004
12876,58,2,26.09435294117647
12877,4,12,9.972532467532467
12878,236,2,18.191276595744682
12879,45,3,57.322
12881,276,1,42.57142857142857
12882,9,2,112.54153846153847
12883,25,4,16.749285714285715
12884,88,1,44.15
12885,63,3,16.552394366197184
12886,68,2,16.809756097560978
12888,214,2,70.824
12890,24,1,4.639878048780488
12891,186,3,110.33333333333333
12893,31,1,5.533529411764706
12895,42,2,16.945454545454545
12897,205,2,54.125
12901,9,28,152.19431034482758
12902,265,1,13.868
12904,18,2,7.0775
12906,12,5,46.34619047619047
12908,176,2,375.0
12909,40,5,23.941428571428574
12910,23,8,41.00053333333333
12912,3,5,69.2625
12913,5,5,49.6726
12915,149,2,16.529545454545453
12916,139,4,28.094859813084113
12917,128,1,297.0
12919,8,6,26.7038
12920,17,1,5.8653571428571425
12921,9,37,23.037625
12922,161,1,14.477857142857143
12923,64,1,6.102413793103448
12924,88,4,31.123333333333335
12925,5,2,15.423333333333332
12928,35,5,24.555952380952384
12929,312,1,14.73125
12930,78,2,16.632
12931,22,15,512.8775609756098
12933,24,3,5.7314150943396225
12935,2,7,16.749612403100773
12936,17,4,17.15967741935484
12937,15,4,12.535583333333333
12938,26,1,12.682222222222222
12939,64,8,246.42127659574467
12940,55,2,9.227676767676767
12942,131,3,9.118666666666666
12944,36,2,20.150333333333332
12945,288,1,20.128260869565217
12947,144,6,16.535979381443298
12948,16,7,17.801293103448273
12949,31,8,19.382418604651164
12950,2,3,80.1304347826087
12951,9,6,16.89
12952,6,4,17.566962025316457
12953,10,1,19.40294117647059
12955,1,11,26.428666666666665
12956,306,1,5.687894736842105
12957,10,8,16.880420168067225
12962,7,2,16.649375
12963,8,8,19.54347368421053
12965,89,1,7.081743119266055
12966,10,1,16.018
12967,358,2,87.41578947368421
12968,112,1,27.189999999999998
12970,7,4,2.9949668874172186
12971,4,86,36.68822950819672
12974,198,1,18.1
12976,212,1,33.57272727272727
12977,156,1,4.359999999999999
12980,158,9,368.745
12981,30,2,18.610999999999997
12982,243,1,13.947857142857144
12984,19,1,24.375
12985,1,2,16.30763157894737
12987,74,2,19.95357142857143
12988,292,1,5.818695652173914
12989,3,15,108.18921875000001
12990,31,3,31.5
12991,23,2,16.25032258064516
12993,23,4,15.361481481481482
12994,4,3,15.97409836065574
12995,85,1,70.44
12997,22,4,20.794745762711866
12999,196,3,16.28142857142857
13000,107,3,17.253225806451614
13001,4,13,28.964070796460177
13002,318,1,17.27857142857143
13003,106,3,24.84166666666667
13004,12,18,13.999777227722772
13005,174,2,19.75769230769231
13006,56,1,20.3925
13008,323,1,16.390714285714285
13011,372,1,16.85
13012,9,8,18.6723595505618
13013,1,13,21.967762557077627
13014,11,10,31.800733944954125
13015,53,5,19.012954545454548
13016,73,3,16.806170212765956
13017,7,1,204.0
13018,16,28,15.890174672489083
13021,4,9,19.97236641221374
13023,64,2,17.2475
13026,1,5,24.384
13027,114,6,265.84615384615387
13028,23,2,14.695999999999998
13029,31,3,124.75
13030,11,2,8.075555555555555
13032,52,2,14.227887323943662
13033,357,1,17.322727272727274
13034,55,2,17.372162162162162
13035,74,2,34.1437037037037
13037,138,3,18.355625
13038,80,3,32.445
13040,9,2,15.743953488372092
13043,273,1,39.72461538461538
13044,291,1,16.983939393939394
13045,99,1,16.96
13046,31,2,17.980285714285714
13047,32,10,18.822906976744186
13048,14,4,13.499338235294118
13049,64,2,46.90571428571429
13050,15,17,14.483523573200992
13052,212,1,19.34166666666667
13055,78,3,15.979078947368421
13058,25,3,33.925000000000004
13059,250,1,22.925
13060,254,1,20.502
13061,72,1,24.861
13062,191,1,31.543636363636367
13064,13,4,16.22449275362319
13065,373,1,14.704285714285716
13066,24,2,9.808333333333334
13067,82,1,7.697333333333334
13068,10,2,172.0
13069,1,24,10.437929411764706
13070,192,1,25.422222222222224
13072,267,1,25.307142857142857
13075,130,1,41.80045454545455
13077,1,4,6.5113392857142856
13078,3,26,35.27357541899441
13079,4,5,36.68333333333334
13080,179,1,9.68
13081,12,11,27.67322265625
13082,126,9,49.50178082191781
13083,4,2,16.875
13085,158,2,18.912727272727274
13089,3,97,32.35744224422442
13090,9,14,57.48916129032258
13091,28,1,16.467619047619046
13092,71,5,19.1132
13093,276,8,49.260817610062894
13094,21,12,80.305
13095,71,1,12.399999999999999
13097,33,10,14.209030732860521
13098,1,28,50.49377622377622
13099,99,1,207.35999999999999
13101,234,1,12.64875
13102,1,24,21.131875
13103,40,1,30.4925
13104,3,6,54.924
13106,133,1,76.5
13107,44,4,26.407241379310346
13108,373,1,35.006
13109,60,2,16.734893617021275
13110,31,7,10.266689655172414
13113,1,24,61.229800000000004
13115,12,4,19.12316666666667
13116,138,1,16.704666666666665
13117,22,8,12.959342105263158
13118,20,5,15.162151898734177
13120,239,1,30.599999999999998
13121,269,1,5.674600000000001
13122,94,2,16.77072727272727
13124,90,3,16.452468085106382
13126,5,8,14.997428571428571
13127,78,1,17.278000000000002
13130,94,1,32.0
13131,23,3,24.393181818181816
13132,262,1,25.766666666666666
13133,274,2,15.685714285714285
13134,86,4,18.301836734693875
13135,197,1,3096.0
13136,56,5,20.53236220472441
13137,11,8,5.185241477272727
13138,22,6,15.276031746031746
13139,16,7,29.79376470588235
13140,108,3,9.211304347826088
13141,85,5,17.694444444444443
13142,19,1,13.351739130434781
13144,333,1,36.983333333333334
13145,40,4,103.08666666666666
13146,26,1,13.465294117647058
13147,10,4,178.20000000000002
13148,29,12,11.621065830721003
13149,14,4,19.48906976744186
13151,296,1,16.998243243243245
13153,6,1,32.41466666666667
13155,33,4,11.432470588235294
13157,49,4,20.014022988505747
13158,95,4,15.203291139240505
13159,9,4,11.883057851239668
13160,22,1,22.95
13161,313,1,14.09375
13162,122,4,21.370759493670885
13165,46,2,24.32095238095238
13166,283,1,10.175609756097561
13167,19,4,12.174307692307693
13168,36,4,10.070152671755725
13169,64,2,54.83692307692308
13170,27,1,3.6253124999999997
13171,22,3,10.182826086956522
13173,4,2,8.224418604651163
13174,16,3,8.971433121019109
13176,46,1,6.845
13177,65,1,16.61470588235294
13178,26,11,21.60554716981132
13182,45,1,11.016363636363637
13183,8,9,42.10404255319149
13184,15,10,9.39939226519337
13185,268,1,71.4
13186,40,3,19.947974683544306
13187,337,1,6.378918918918919
13188,11,1,57.300000000000004
13189,19,2,8.988965517241379
13192,95,2,14.475238095238096
13193,61,1,4.0648275862068965
13194,136,1,20.233333333333334
13196,11,4,16.343454545454545
13198,10,6,15.049734513274338
13199,4,38,82.49680672268909
13200,19,4,18.915
13203,10,4,15.253684210526316
13207,15,2,31.282500000000002
13208,59,6,8.214093959731544
13209,30,8,18.35392523364486
13210,94,1,16.067272727272726
13211,10,3,21.3825
13212,20,3,5.549859154929578
13213,57,5,16.895333333333333
13216,268,1,66.748
13217,122,3,133.495
13218,127,1,12.527999999999999
13220,78,4,39.01380952380953
13221,240,2,12.839545454545455
13223,200,2,32.64
13224,60,2,19.9625
13225,3,7,201.995
13226,273,1,6.7631250000000005
13227,202,1,28.633333333333333
13228,81,1,179.0
13229,226,1,16.095
13230,4,14,4.5940589198036
13232,13,7,6.558454106280193
13233,74,2,14.072558139534884
13235,212,1,17.77706896551724
13236,25,2,20.69027777777778
13238,17,4,22.604193548387098
13239,262,1,15.693333333333333
13240,96,4,9.905223880597015
13242,112,3,20.800000000000004
13243,203,1,10.346034482758622
13244,93,1,4.508888888888889
13245,51,1,26.90625
13246,18,6,14.094326241134752
13247,18,4,20.0448
13248,125,2,17.91076923076923
13249,92,3,30.93086956521739
13253,157,2,28.622222222222224
13255,9,2,30.73153846153846
13258,12,3,18.383684210526315
13259,62,1,3.36
13260,61,1,69.7025
13261,269,2,104.9
13262,263,1,18.208181818181817
13263,1,35,4.444883720930233
13265,53,5,23.1610989010989
13266,11,12,20.504064171122995
13267,3,19,21.428862559241704
13268,18,11,7.306113636363636
13269,1,15,16.91844936708861
13270,366,1,590.0
13271,37,1,2.264375
13272,31,2,18.437333333333335
13273,113,1,8.68625
13276,64,2,19.69766666666667
13277,16,4,32.3
13278,41,1,11.798478260869565
13279,78,1,15.305555555555555
13280,122,3,9.586588235294117
13282,18,3,30.59837837837838
13283,60,2,13.379999999999999
13284,331,1,15.476153846153846
13285,23,4,14.487272727272726
13291,156,1,8.597857142857142
13292,39,2,18.67548387096774
13294,190,2,16.18037037037037
13295,360,1,20.12
13296,137,1,17.48
13297,8,4,35.421186440677964
13298,1,1,180.0
13299,268,1,28.5
13300,169,1,18.5945
13301,104,4,7.630740740740741
13302,155,1,63.75
13304,351,1,14.305714285714286
13305,4,10,24.701975308641973
13307,120,1,15.0
13308,23,3,25.657592592592593
13309,7,5,13.614859813084111
13310,28,3,15.722638888888888
13311,4,2,23.02192307692308
13313,22,5,19.939999999999998
13314,2,3,12.515161290322581
13316,37,4,68.70954022988506
13317,66,6,18.336129032258064
13318,1,3,32.038
13319,5,26,22.784768907563027
13320,78,4,14.610377358490567
13321,72,2,51.57818181818182
13322,17,1,7.9792000000000005
13323,3,5,37.516666666666666
13324,36,10,94.95933333333333
13325,82,1,56.275
13327,39,8,33.59046296296296
13328,316,1,76.96941176470588
13329,32,2,46.411764705882355
13330,93,3,21.526981132075473
13332,14,1,16.70952380952381
13334,82,3,13.197089552238806
13336,77,1,15.590588235294117
13338,158,1,25.632631578947368
13339,201,1,15.928148148148148
13340,45,7,80.12298507462687
13341,261,1,18.472619047619048
13343,178,1,18.60157894736842
13344,68,3,21.37579831932773
13345,288,1,19.475
13347,70,1,42.67
13348,64,1,16.697142857142858
13349,11,1,15.4575
13350,16,2,24.478
13351,66,1,23.37125
13352,60,1,16.5825
13354,71,1,14.579019607843136
13355,122,1,21.084375
13356,80,1,18.291428571428572
13357,257,1,6.777222222222223
13358,269,1,15.138965517241378
13359,64,1,19.11130434782609
13362,9,4,18.618915662650604
13363,18,2,16.541666666666668
13364,71,1,13.495999999999999
13365,34,2,17.385703125
13366,50,1,56.160000000000004
13368,257,2,21.49655172413793
13369,366,1,22.020000000000003
13370,372,1,19.355641025641027
13372,90,1,16.46260869565217
13373,61,3,20.963607594936708
13375,89,1,21.044594594594592
13376,99,3,19.240754716981133
13379,26,3,5.902680412371134
13381,32,6,21.15877906976744
13382,281,1,14.866000000000001
13384,31,7,27.315328947368425
13385,330,1,15.273428571428573
13388,131,2,19.345714285714287
13389,11,3,15.646274509803922
13390,75,1,41.8523076923077
13391,204,1,59.8
13394,2,8,16.258193548387098
13395,185,1,14.653333333333334
13396,29,2,31.65093023255814
13397,73,5,40.635000000000005
13398,192,1,17.59
13402,127,2,15.92897435897436
13403,18,1,25.0
13404,1,2,22.953636363636363
13405,74,3,21.201888888888888
13408,2,62,58.82225941422595
13410,24,5,35.82357142857143
13411,107,1,11.863888888888889
13414,134,3,57.9375
13416,44,2,37.5
13417,5,2,22.886785714285715
13418,12,18,20.156019736842108
13419,64,1,13.81625
13420,150,2,19.98125
13421,40,2,17.798846153846153
13422,64,1,20.67952755905512
13425,108,3,20.823205128205128
13426,1,10,23.193121019108283
13427,19,3,20.089655172413792
13428,10,1,2.952297297297297
13429,11,4,15.02686567164179
13430,19,2,13.866326530612247
13431,67,2,27.589130434782607
13434,74,2,53.424
13435,5,7,37.72168316831684
13436,2,1,16.4075
13437,14,7,20.40754491017964
13439,255,1,5.253888888888889
13441,92,1,22.818461538461538
13447,23,3,19.137966101694918
13448,17,6,18.150615384615385
13449,24,1,15.362105263157895
13450,27,6,28.784788732394365
13451,26,5,6.718171557562077
13452,259,2,295.0
13453,166,2,20.998823529411762
13455,25,2,23.007391304347824
13456,18,6,28.043174603174602
13458,7,14,25.252801047120418
13460,29,2,10.790588235294118
13461,39,3,53.51851851851852
13462,253,1,16.833333333333332
13464,58,1,16.45560975609756
13466,184,1,18.11176470588235
13467,11,2,10.946565656565657
13468,2,37,18.89062913907285
13470,99,2,16.5
13471,1,4,9.736846153846153
13473,61,2,20.125714285714285
13474,236,1,3.58734375
13475,191,4,16.648604651162792
13476,179,2,21.352931034482758
13477,38,6,18.41240506329114
13479,201,2,20.063333333333333
13481,46,5,16.55559633027523
13482,232,1,16.785454545454545
13483,66,1,14.034
13484,241,1,39.225
13485,233,1,19.749565217391304
13486,78,3,16.2668115942029
13487,58,3,16.923529411764704
13488,17,13,21.25191943127962
13489,105,4,32.10857142857143
13491,52,10,14.137441860465115
13492,136,3,25.3968
13493,275,2,77.32875
13494,312,1,17.570000000000004
13495,8,5,42.60145833333333
13496,11,2,18.66657142857143
13497,283,2,18.318421052631578
13499,18,5,27.59785714285714
13500,23,3,17.950307692307693
13501,288,1,25.775384615384613
13502,17,3,16.22222222222222
13503,71,1,12.755882352941176
13504,64,1,13.451363636363636
13505,73,4,20.435488372093022
13506,316,2,17.635384615384616
13507,3,4,15.303456790123455
13508,244,1,9.2475
13509,9,7,22.266363636363636
13510,1,4,15.578782608695652
13512,261,1,16.747333333333334
13513,127,1,20.509999999999998
13514,74,1,38.050000000000004
13515,73,4,15.103728813559322
13516,21,3,31.5775
13517,60,3,15.09517730496454
13518,86,1,17.353684210526314
13519,78,1,15.34375
13520,59,6,38.97150537634408
13521,1,3,2.508371559633028
13522,30,1,25.160000000000004
13523,33,5,23.051627906976744
13524,41,5,25.191851851851855
13525,15,2,104.79666666666667
13527,34,7,10.257892376681616
13529,79,2,20.517333333333333
13531,205,2,21.990909090909092
13532,34,1,3.1865151515151515
13533,183,3,3.563026315789474
13534,2,25,19.83135135135135
13536,1,7,19.264189944134078
13538,43,7,51.233999999999995
13539,86,3,17.063243243243242
13544,40,2,3.349540229885058
13546,12,3,6.397857142857143
13548,96,2,5.503306451612903
13549,26,7,18.00392156862745
13551,319,1,22.950000000000003
13552,66,12,34.31256880733945
13555,74,4,30.50941176470588
13557,28,2,17.178235294117645
13558,6,4,3.457485714285714
13560,7,1,5.283939393939394
13561,216,1,10.132857142857143
13562,82,3,21.943048780487803
13563,84,2,15.867959183673468
13564,144,3,21.07253012048193
13565,19,2,6.321578947368421
13566,41,2,4.969943181818182
13568,173,1,4.382954545454545
13569,17,2,4.397058823529412
13570,243,1,8.870000000000001
13571,13,12,6.1358357771261005
13572,206,1,41.946969696969695
13573,50,2,11.323076923076922
13575,23,5,15.914565217391303
13576,10,18,53.312222222222225
13577,25,4,20.33253012048193
13579,15,2,20.30608695652174
13581,309,1,11.8
13583,156,1,14.736415094339621
13584,307,1,5.933333333333334
13587,64,1,89.05
13588,16,9,14.246839080459768
13589,15,2,18.07857142857143
13590,11,6,22.780689655172413
13591,65,3,19.26086206896552
13592,36,4,15.497499999999999
13593,108,5,15.914687500000001
13594,53,1,15.268076923076924
13596,6,2,4.199036144578313
13598,47,1,4.504250000000001
13599,1,21,20.86506072874494
13600,312,1,11.553684210526317
13601,45,2,7.003232323232324
13602,65,1,18.647391304347824
13603,26,1,6.086666666666667
13606,29,3,6.524186046511627
13607,40,1,6.918469387755102
13610,12,7,5.008318584070797
13611,89,3,15.835135135135134
13614,24,4,8.01223880597015
13615,319,1,18.160434782608696
13617,40,3,12.367727272727272
13618,174,1,13.641538461538461
13621,117,1,11.255263157894737
13623,31,5,9.231851851851852
13626,253,1,13.53842105263158
13627,59,5,17.80945652173913
13629,23,11,132.07389830508475
13630,5,7,28.61661971830986
13631,100,11,279.1290909090909
13632,25,5,14.529246575342466
13634,33,5,8.378510638297874
13635,68,1,17.274677419354838
13636,37,5,15.065396825396826
13637,52,3,8.024752475247524
13638,16,1,15.33
13639,74,1,25.833499999999997
13642,216,1,5.375757575757576
13643,31,3,18.551428571428573
13644,16,4,17.974383561643837
13645,120,1,50.42
13647,10,4,21.2420253164557
13649,257,2,15.069565217391306
13650,17,6,19.128541666666667
13651,35,2,15.700000000000001
13652,46,3,17.38222222222222
